gene_id,gene_name,gene_biotype,count
AT1G04097,null,lncRNA,0
AT1G04100,IAA10,protein_coding,2
AT1G04103,null,lncRNA,0
AT1G04105,null,protein_coding,0
AT1G04110,SBT1.2,protein_coding,1
AT1G04117,null,lncRNA,0
AT1G04120,ABCC5,protein_coding,15
AT1G04123,null,lncRNA,0
AT1G04127,null,lncRNA,0
AT1G04130,TPR2,protein_coding,1
AT1G04133,null,lncRNA,0
AT1G04137,null,lncRNA,0
AT1G04140,null,protein_coding,16
AT1G04143,null,lncRNA,0
AT1G04147,null,lncRNA,0
AT1G04150,null,protein_coding,0
AT1G04153,null,lncRNA,0
AT1G04157,null,lncRNA,0
AT1G04160,XI-B,protein_coding,6
AT1G04163,null,lncRNA,0
AT1G04167,null,lncRNA,0
AT1G04170,EI,protein_coding,10
AT1G04173,null,lncRNA,0
AT1G04177,null,lncRNA,0
AT1G04180,YUC9,protein_coding,0
AT1G04183,null,lncRNA,0
AT1G04187,null,snoRNA,0
AT1G04190,TPR3,protein_coding,18
AT1G04193,null,snoRNA,0
AT1G04197,null,snoRNA,0
AT1G04200,null,protein_coding,5
AT1G04203,null,lncRNA,0
AT1G04207,null,lncRNA,0
AT1G04210,null,protein_coding,10
AT1G04213,null,snoRNA,0
AT1G04217,null,snoRNA,12
AT1G04220,KCS2,protein_coding,3
AT1G04223,null,snoRNA,2
AT1G04227,null,snoRNA,0
AT1G04230,null,protein_coding,1
AT1G04233,null,lncRNA,0
AT1G04237,null,lncRNA,0
AT1G04240,SHY2,protein_coding,2
AT1G04243,null,lncRNA,0
AT1G04247,null,lncRNA,0
AT1G04250,IAA17,protein_coding,4
AT1G04253,null,lncRNA,0
AT1G04257,null,lncRNA,0
AT1G04260,PRA1D,protein_coding,3
AT1G04263,null,snRNA,11
AT1G04267,null,snoRNA,0
AT1G04270,RPS15A,protein_coding,19
AT1G04273,null,snoRNA,10
AT1G04277,null,snoRNA,10
AT1G04280,null,protein_coding,5
AT1G04283,null,lncRNA,0
AT1G04287,null,lncRNA,0
AT1G04290,null,protein_coding,0
AT1G04293,null,lncRNA,0
AT1G04295,null,lncRNA,0
AT1G04297,null,lncRNA,0
AT1G04300,TRAF1B,protein_coding,16
AT1G04303,null,lncRNA,0
AT1G04307,null,lncRNA,0
AT1G04310,ERS2,protein_coding,0
AT1G04313,null,lncRNA,0
AT1G04320,null,tRNA,36
AT1G04323,null,lncRNA,0
AT1G04327,null,lncRNA,0
AT1G04330,null,protein_coding,0
AT1G04333,null,lncRNA,0
AT1G04337,null,lncRNA,0
AT1G04340,null,protein_coding,2
AT1G04343,null,lncRNA,0
